"Họ tên","Học hàm/Học vị","Chuyên khoa","Cơ sở y tế","Đánh giá","Đường dẫn hồ sơ"
"Nguyễn Quốc Tuấn","Phó giáo sư, Tiến sĩ, Bác sĩ chuyên khoa II","Sản phụ khoa","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/nguyen-quoc-tuan-51674-vi"
"Lê Thị Minh Hương","Phó giáo sư, Tiến sĩ","Nội nhi","Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/le-thi-minh-huong-51532-vi"
"Yi Hyeon Gyu","Phó giáo sư, Tiến sĩ","Nội Ung bướu","Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/yi-hyeon-gyu-50974-vi"
"Trần Mạnh Hùng","Phó giáo sư, Tiến sĩ","Ngoại Tiêu hoá","Bệnh viện Đa khoa Vinmec Smart City","4.9/5","/vie/chuyen-gia-y-te/tran-manh-hung-vi"
"Lưu Hồng Hải","Phó giáo sư, Tiến sĩ","Ngoại chấn thương chỉnh hình","Bệnh viện Đa khoa Vinmec Hải Phòng","4.8/5","/vie/chuyen-gia-y-te/luu-hong-hai-51238-vi"
"Nguyễn Thị Hoàn","Phó giáo sư, Tiến sĩ","Nội nhi","Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.8/5","/vie/chuyen-gia-y-te/nguyen-thi-hoan-50934-vi"
"Bùi Đức Hậu","Phó giáo sư, Tiến sĩ","Ngoại nhi","Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.8/5","/vie/chuyen-gia-y-te/bui-duc-hau-51616-vi"
"Hoàng Đăng Mịch","Phó giáo sư, Tiến sĩ","Nội tiết","Khoa Khám bệnh & Nội khoa, Bệnh viện Đa khoa Vinmec Hải Phòng","4.8/5","/vie/chuyen-gia-y-te/hoang-dang-mich-43322-vi"
"Phạm Vân Thúy","Phó giáo sư, Tiến sĩ","Dinh dưỡng","Khoa Nội tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.7/5","/vie/chuyen-gia-y-te/pham-van-thuy-51742-vi"
"Vũ Đức Định","Phó giáo sư, Tiến sĩ","Hồi sức - Cấp cứu","Khoa Hồi sức cấp cứu - Bệnh viện Đa khoa Vinmec Phú Quốc","N/A","/vie/chuyen-gia-y-te/vu-duc-dinh-51531-vi"
"Lê Văn Thành","Phó giáo sư, Tiến sĩ","Gan - Mật - Tụy","Trung tâm Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/le-van-thanh-51241-vi"
"Đoàn Mai Phương","Phó giáo sư, Tiến sĩ","Vi sinh","Khoa Xét nghiệm - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/doan-mai-phuong-4469-vi"
"Đỗ Duy Cường","Phó giáo sư, Tiến sĩ","Truyền nhiễm","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/do-duy-cuong"
"Phạm Văn Bình","Phó giáo sư, Tiến sĩ","Ngoại Ung bướu","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/pham-van-binh"
"Võ Thị Hoàng Lan","Phó giáo sư, Tiến sĩ","Mắt","Bệnh viện Đa khoa Quốc tế Vinmec Central Park","N/A","/vie/chuyen-gia-y-te/vo-thi-hoang-lan"
"Trần Thị Nguyệt Thanh","Phó giáo sư, Tiến sĩ","Mắt","Trung tâm Mắt Vinmec-Alina, Bệnh viện ĐKQT Vinmec Times City","N/A","/vie/chuyen-gia-y-te/tran-thi-nguyet-thanh-51816-vi"
"Phạm Anh Vũ","Phó giáo sư, Tiến sĩ","Tiêu hóa","Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Vinmec Đà Nẵng","N/A","/vie/chuyen-gia-y-te/pham-anh-vu-51810-vi"
"Nguyễn Tấn Cường","Phó giáo sư, Tiến sĩ","Gan - Mật - Tụy","Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","N/A","/vie/chuyen-gia-y-te/nguyen-tan-cuong-51481-vi"
"Chu Quốc Trường","Phó giáo sư, Tiến sĩ","Y học cổ truyền","Trung tâm Y Học Cổ Truyền Vinmec - Sao Phương Đông","N/A","/vie/chuyen-gia-y-te/chu-quoc-truong-4340-vi"
"Nguyễn Tiến Quyết","Phó giáo sư, Tiến sĩ","Gan - Mật - Tụy","Khoa Ngoại Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/nguyen-tien-quyet-51489-vi"
"Nguyễn Thị Nữ","Phó giáo sư, Tiến sĩ","Xét nghiệm","Bệnh viện Đa khoa Vinmec Phú Quốc","N/A","/vie/chuyen-gia-y-te/nguyen-thi-nu-1"
"Lê Quang Vinh","Phó giáo sư, Tiến sĩ, Bác sĩ chuyên khoa II","Giải phẫu bệnh","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/le-quang-vinh"
"Ninh Thị Ứng","Phó giáo sư, Tiến sĩ","Nhi","Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/ninh-thi-ung-50919-vi"
"Lê Ngọc Hà","Phó giáo sư, Tiến sĩ","Y học hạt nhân","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/le-ngoc-ha"
"Hoàng Gia Du","Thầy thuốc ưu tú, Phó giáo sư, Tiến sĩ","Đa khoa","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/hoang-gia-du"
"Hồ Thượng Dũng","Thầy thuốc ưu tú, Phó giáo sư, Tiến sĩ","Phẫu thuật Tim Mạch - Lồng Ngực","Bệnh viện Đa khoa Quốc tế Vinmec Central Park","N/A","/vie/chuyen-gia-y-te/ho-thuong-dung"
"Nguyễn Thị Ngọc Lan","Phó giáo sư, Tiến sĩ","Cơ xương khớp","Khoa Nội tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/nguyen-thi-ngoc-lan-50885-vi"
"Bùi Văn Giang","Phó giáo sư, Tiến sĩ","Chẩn đoán hình ảnh","Khoa Chẩn đoán hình ảnh - Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/bui-van-giang-51648-vi"
"Nguyễn Ngọc Quang","Phó giáo sư, Tiến sĩ","Tim mạch","Hệ thống Y tế Vinmec","N/A","/vie/chuyen-gia-y-te/nguyen-ngoc-quang-1"
"Mikael Hartman","Phó giáo sư, Tiến sĩ","Bệnh lý huyết học, ung thư huyết học - Bệnh hiếm","Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/mikael-hartman"
